date,quarter,year,apple,microsoft,ibm
2008-05-02,2008-2,2008,25.848572,29.24,123.18
2008-05-05,2008-2,2008,26.389999,29.08,122.029999
2008-05-06,2008-2,2008,26.665714,29.700001,122.82
2008-05-07,2008-2,2008,26.084286,29.209999,124.139999
2008-05-08,2008-2,2008,26.437143,29.27,124.919998
2008-05-09,2008-2,2008,26.207144,29.389999,124.059998
2008-05-12,2008-2,2008,26.879999,29.99,125.239998
2008-05-13,2008-2,2008,27.137142,29.780001,126.580002
2008-05-14,2008-2,2008,26.608572,29.93,127.519997
2008-05-15,2008-2,2008,27.104286,30.450001,128.460007
2008-05-16,2008-2,2008,26.802856,29.99,127.82
2008-05-19,2008-2,2008,26.228571,29.459999,126.489998
2008-05-20,2008-2,2008,26.557142,28.76,125.18
2008-05-21,2008-2,2008,25.455715,28.25,123.620003
2008-05-22,2008-2,2008,25.292856,28.469999,124.699997
2008-05-23,2008-2,2008,25.881428,28.049999,124.199997
2008-05-27,2008-2,2008,26.632856,28.440001,127.32
2008-05-28,2008-2,2008,26.715714,28.18,129.539993
2008-05-29,2008-2,2008,26.67,28.309999,129.710007
2008-05-30,2008-2,2008,26.964285,28.32,129.429993
2008-06-02,2008-2,2008,26.585714,27.799999,127.360001
2008-06-03,2008-2,2008,26.481428,27.309999,127.839996
2008-06-04,2008-2,2008,26.455715,27.540001,127.550003
2008-06-05,2008-2,2008,27.061428,28.299999,128.470001
2008-06-06,2008-2,2008,26.52,27.49,124.940002
2008-06-09,2008-2,2008,25.944286,27.709999,125.860001
2008-06-10,2008-2,2008,26.52,27.889999,125.940002
2008-06-11,2008-2,2008,25.83,27.120001,123.25
2008-06-12,2008-2,2008,24.751429,28.24,123.849998
2008-06-13,2008-2,2008,24.624287,29.07,126.150002
2008-06-16,2008-2,2008,25.262857,28.93,126.709999
2008-06-17,2008-2,2008,25.918571,28.799999,125.099998
2008-06-18,2008-2,2008,25.535715,28.459999,124.160004
2008-06-19,2008-2,2008,25.842857,28.93,125.019997
2008-06-20,2008-2,2008,25.038572,28.23,122.739998
2008-06-23,2008-2,2008,24.737143,27.969999,123.459999
2008-06-24,2008-2,2008,24.75,27.73,123.459999
2008-06-25,2008-2,2008,25.341429,28.35,124.580002
2008-06-26,2008-2,2008,24.037144,27.75,121.129997
2008-06-27,2008-2,2008,24.298571,27.629999,120.050003
2008-06-30,2008-2,2008,23.92,27.51,118.529999
2008-07-01,2008-3,2008,24.954287,26.870001,119.269997
2008-07-02,2008-3,2008,24.025715,25.879999,119.099998
2008-07-03,2008-3,2008,24.302856,25.98,119.540001
2008-07-07,2008-3,2008,25.022858,26.030001,121.5
2008-07-08,2008-3,2008,25.65,25.85,123.879997
2008-07-09,2008-3,2008,24.892857,25.23,120.400002
2008-07-10,2008-3,2008,25.232857,25.450001,123.18
2008-07-11,2008-3,2008,24.654285,25.25,122.120003
2008-07-14,2008-3,2008,24.84,25.15,121.540001
2008-07-15,2008-3,2008,24.234285,26.15,123.199997
2008-07-16,2008-3,2008,24.687143,27.26,125.940002
2008-07-17,2008-3,2008,24.544285,27.52,126.519997
2008-07-18,2008-3,2008,23.592857,25.860001,129.889999
2008-07-21,2008-3,2008,23.755714,25.639999,128.660004
2008-07-22,2008-3,2008,23.145714,25.799999,130
2008-07-23,2008-3,2008,23.751429,26.43,129.520004
2008-07-24,2008-3,2008,22.718571,25.440001,130
2008-07-25,2008-3,2008,23.16,26.16,128.529999
2008-07-28,2008-3,2008,22.057142,25.5,126.25
2008-07-29,2008-3,2008,22.440001,26.110001,127.660004
